,Encrypted_Seller,Encrypted_Id,Title,label
0,b10532ee783f9545d7bddd8f9da20d2a8d1642a486caf522ab479c135c915b3b,63c875becd6c78649539497bdd134c2c762f610b3616aee35c852dfed88eaadd,Smart Tv Noblex Di43x5100x Led Full Hd 43  220v,1
1,aa4dd7ba40c80cf15a859c19f2500e328797e2251322d47d15c0b42647e4d846,490e4b75cfa66087c95b20fb6546e4dfdc952f7537a8e3dcb69a8a92ec02c3e4,Smart Tv Tcl L42s6500 Led Full Hd 42  220v,1
2,e48526711c7cd386af46750540bf107acac9b5988b515a52d333b36ce255d33b,eab7301d49cd3bbe3bcd3c196da0d61713de45b44523c12562483a8e978bfa67,Tv Samsung Smart Tv Hd 32 Para Repuestos,1
3,9e527f7876123f50719291aed05c8351bab1ae9abacadb378949b79cd3a47b15,daf900de69964f2cf241ed5395ac74edd1f2deb65773562f48c4a462b3c57107,Tv Led Samsung 46 Smart Pantalla Rota,1
4,cf3021aa458178431fa2f22daa52ee17f005d6728d9b35d07aa83e4cab3fd0b8,b244c68806fab7d7d523a3927a4eb6381610c40313e8bb2ac34dd420c1d299ce,Tv 29 Sanyo Vizon,0
5,27c4d509a933040de20175037c7061ec1424295ef1b799877a1b59505c88446a,0fa5d6fb485d5cef492706f3e23bc629b4f333daae176d9f4cd43c2869ac5b62,Televisor Philips Led Tv 32 Pulgadas Dolby,0
6,68323cc2ade8e11aa3de76b12749ffd95d262ab3d62cd6c884903b615e51511b,4107ded96ec25b643acc14d3b3d84d4be43bdb37d90edb266c15274a8cd2d5ec,Televisor Samsung Hilton 14 Pulgadas,0
7,8786a62f4f9bc8d61357622d2fa023c2b305981457fa5c3ccbb3aa2c12039fbd,32b8aa4d836651d8e8184edaf83e510f7685d2d563006dfbfeb14d328ef8059a,"Televisión Samsung Led 32 ,modelo : Un32j4000agczb",0
8,082fcb58560611c7d8f64da6921745e512f27b230450cddf2dbe7acd878b9107,7584100f8f7971913b046cd5b3b7021807cbddf5526eeec830be7bef7a5fe903,Esmart Tv 55 Pulgadas,1
9,958da0565f24db6f466097e652c16acffbb1cb64470d74c61138fc07d5e2645d,ab12233081129e2412a143a6f40d747c40c5603db942ea420a6887bf04329064,Tv Led Samsung 40  ,0
10,bea51f5ba5b79d0c1e519dced288908ea757a5752d2eeeb71a11f87404c8e1db,be6aa4f12e744f917c3e5191f0ad947c3cfaec30d4f6b4bf442ca525aa0c3166,Tv Smart Kanji Uhd 4k 60'',1
11,24e31c7cb04584ca5366a54f91092e92cff4310c1491b07cfa884ae74eb6325a,e0b4dfaa74182b301fbe986c291b1ef948c5ddcae753615e31e98f1a34578ed1,Smart Tv Samsung Modelo Un32d5500rg Usado Con Garantia,1
12,3792da3c8777630caf199a27c03dcc6648e4d298891c5f264c4020d7f8fb57dc,d4dbf5c7b5c53f02a0d9f495d1054d824a87592f311de0a6269ce8e390ed8689,Smart Tv 42 Pulgadas Full Hd Hitachi Cdh-le42smart19,1
13,443a41cd1d8d56c3297ab04bceff50ee7294eb2a1f982b82ac0be92dac37225b,1c11ccb34e83a2e44b2a4289cc8ea59001821c4c4c4eeea55d60056f09e332ac,Tv Plasma LG 32 ' ,0
14,d5d7b2e63cb705a32689fece254369a5b157f3c12056f83a5a767282e737569e,c54e88d965ab9703a01cbe8416d7ad33f1af7586047eee3299e564cd29179bc0,Tv Led Top House 43,0
15,6cbdcfb59748b9e8467bed25b3896f689a63f1c9dd25bf229ef67eaebcbaa140,bd825e3415dbd77faf88ce08710b37fd8e01a2cf325b99c823b8b155eaa77f57,Smart Tv Samsung Series 7 Un55ru7100gczb Led 4k 55  220v,1
16,6ae89077de5d4ce88f8154101c36b36b06a7cdf561aef57444f57a634d2b7510,73d55d8c2f8e45a596dbf430b18aa44b0634b0f3dd649217e2857b2720b95196,Tv Lcd Samsung 40',0
17,39910e7cadf745373b8be6ee8c46e9d33d51258c4e9038e02ad031e296259bda,429e5fda870cc06f2e1f721b17caaee0551287493b7684deb87b8a02e8108d1f,Televisor Goldstar 14 ,0
18,587eb1c9d7b6a212e9483c82f4c4b6da89c5703f9a272311255dd15a91f9f59c,49d0113f64b766396b68e210f282bc59d38bdb1dce94f1767bdac5ff2d19a3a6,Tv Led LG 28 ,0
19,9a86d719100eec728d906145c001cfd37f41a95eded704b8ef93170e34908e37,2eaff0de2232995ad1a478c1fe87d5155823df41b936080299b4974ca6940748,Oferta Smart Tv Philips 43,1
20,4400560f4f9262191cce9d4515c7c9a89ce573c45f4e1172c8ac8724f14533e0,3ac9e4985bd93fd02cf7d78d41a03142d32f60debd5fd36bbf60dfe09b1227b8,Smart Tv Hitachi 32 Cdh-le32smart Hd Android Bluetooth,1
21,297b29d80b171585d3861b1926546b5a6706adc42f2aa5005aa9246c1213e326,57a8e92c99e0e40828ce15b2585f36cd07a2301de68780b8005fe9a3d82223af,Televisor Lcd 21 Pulgadas Samsung Con Control Remoto ,0
22,d6a2c6a94000f70714c797bdf5d80fbea4a56017362325f3d5c01a82e86a9187,bb2990acaa00714e944e8be5dc87da2e2e711d109ee41b67de66a4f49e1031fa,Lcd De 32 ,0
23,f2fe7da3870a14024bdcf91c3997206928c78268df631515d75884a4d5f3bbff,6e9d7dfcb04d7110086d2d3f976dd84e2027f6d8ffa0e455c17ff5761d7be0b8,Tv Philco 24,0
24,cf89b20ee83330d2ac3f082e1ab04c4aeed4326a2b0a604558717da6b947cc6f,83693ba300c9ab0415627f1cd65ae518e6414ea6355cb4e9cae57edd90634a3d,Smart Tv Philips 6600 Series 55pug6654/78 Led 4k 55 ,1
25,327b9619d987a28d2d96c7bfdac14b8030f88aa6b3b56510690b2093a114ccb8,bded5c8667bfd3cda4faaaa3d518eda95f35758e86cf9629830ada79006ddeee,Tv Tubo Sony 20 Pulgada,0
26,7c3463864b32270ec1a276168b1de12b3400f79a8288b1ab6cb8bcd2df53b048,aa3bd5286f2081b63e0cba7600c4795a2835b09dbf652cbd8d8302bf27402623,Televisor Noblex 32 Pulgadas Hdmi Lcd,0
27,f622c34396b88012e97d314bf721932096212110ac5bc4ee269cdcf387ef13d1,f4d342f8883166c00139797f58aae2b026a267e079a5f66fac5da07c95a6ff91,Sony Bravia Xbr 65x855d,0
28,3b8fb4ef2bee8d42f9b4f4f311bc8f9a1db00822b9a74fb2c17443d8150a4dfc,4e490dfb7e3010888b1d0eb68372a1b3a8a869ef7a57ee03ff76697d991510fc,Tv Samsung Series 4 Un32eh4000gcfv Led Hd 32  100v/240v,0
29,006b85f876cc305259132c65f31ec0bc720865390aba41ed789abf0a2d53752f,558e9ffb6bee31ed62ecd6e622f69bb74440fee2b30636cf466b457c7316baf8,Smart Tv Samsung 43 Uhd 4k Un43au7000 Techcel Ahora 12,1
30,940bffbb8e812037fd51bba0cca38c9151bbecc3724b5ee84adbb792fc63061c,3313a086e21363082f07521235133a26f304d8d848e2bfb88a9db36a18d9ac69,Smart Tv Bgh B4321fh5a Led Full Hd 43,1
31,316cfe76a04e2cc3cf47b2a27b4fd4230eae1869d9dfa24f94ffe3a75dcea51f,dd4468eba156569790950c5d5ded89d795bc39e0a152623fc6321e6816e33dc1,Televisor Philips 42 Fhd Modelo 42pfl7007g/77 3d,0
32,da10bc3506f89c4287ddcb812f5d9e0cd38a5636baa4830d06a751b538b45db1,2153d2fe6a005f94d86b9a26d3e4eb87edde48f07de3e9d7cb2331bf4260c049,Televisor Noblex 21  Color Pantalla Plana C/c.remot.funciona,0
33,6917cca58cab101a6b86ac74428f576f1390f5a49207b1d57549d00332a743da,79a28956c89b015eb8883e9f3962696ca9f3aaaafddbb9462548d0311240770e,Monitor Led 24 Tv Hd Enova Cuotas,2
34,e128004962a8c07ff9f4caad1180a80f3047c568536aa13580f6e07d0da6c475,67885164e06fcc492ea2afb6a324cc421d90b6b89a4b6c3ecdb9e39e9d8032ee,Smart Tv Jvc 55' Funcionando ,1
35,6917cca58cab101a6b86ac74428f576f1390f5a49207b1d57549d00332a743da,500474a18508d6c18955e7edfa524ef7ed9728c9db71c61d3179c7407feb0c69,Monitor Led 24 Tv Hd Enova Cuotas 24,2
36,d39676316d0975403af9d63c6c25e9a67a49ba4f3e9a1996e8f2a8c2257ee6b7,5da93c97a459c4d3fd0989f1863ba377d661e9226fa2c1591e60d917e45c304a,Tv Sony Bravia Klv-26s300a Lcd Hd 26  Como Nuevo!!!!,0
37,8efc7a5e7a2117772fbcef8cf328088ac4abc64fe2de3d18e5d1acea5380f8d3,1a594e36f2011f0759755d99d7d848df3bd7dd450eaf6b156bbd0efbb5d86193,Tv Plasma Sony 32,0
38,a5793baf2013e107ff12bec09e43f1ff8cec89012ac91779c14d7f2b17d925b0,2ccbe10088321a2007367dd8b580a898e707efebc3fbf48b2b183a2ef703a128,Tv Sony 29,0
39,4961ea5ddd29e7df7b4fb5dafe8b019033f4189f4590b4af3b7bbed210a55b07,0c234201dc15d79bcdce47097dc7307f3506f61b825b4cfda1895dd0cb6b37a7,Televisor Daewo 29 Pulgadas,0
40,9417ff286f6b2106625ff0678629e8bda15d89c019559499eaaa3ab9b71d498c,c37553f765608cd37b6ceea8def51a06976cc1c2e14a7984d3f0b266f1d85453,Smart Samsung 32 Un32j4300 Para Repuesto,1
41,7035cd17b19dc63aad850cd82bc2403203739b2b126012e1150dde45e709b7d2,1c56a5eabe2a5ef9de6fd9637fcf8d72a8f2915eda694da2a5f1e807fede66a1,Televisor De 24 Pulgadas De Tubo.,0
42,a03f3ab6ddbb9251cf12aac1e683202c1e1b295c583151c2970d9092e4136ae5,1c53c22c9bdd54e123a58c26118e7ffe99b50659a19c1c297a4bdf1c9d3aaea4,Televisor Led Ken Brown 39'' 3d  Usado Con Mínimas Detalles.,0
43,2f951405e9dd5110501bd0bd10edaadc0cd2d29ed2975488ecedba3a9fdb2806,c2ad99e3a8eba4676da3edfdec3ed1e933480c7b8b451f06f13a59b195b5948a,Smart Tv Tcl L55p715 Led 4k 55  220v,1
44,c362c9129a90f7191f8dbbe5fe728a33195f14719b38c3bfd6f3c2d95619a371,edb750d3c9aa43bbe32187436159665ef424060dc81aec13ff98417aa34cf904,Tv Monitor Bionica (leer...),2
45,8e75556c3a268953fb404b1eae169ab2841833ee83d1713a0c882cee7e603ddf,691f4318df56fef6945e09607cf8dab7b5945fc3632c7d4699538116475a95df,Smart Tv 55  Full Hd Smart Tv K5500modelo: Un55k5500,1
46,a7422c07ee1c0852908b85e7be345188524ad10b21e371a047bbfe8986227bb3,543991320677f786f0e477646a472c0de8615ffbd575a49cb2713664f22fd368,Televisor LG 32 Modelo 32cs560-sd,0
